Accident;Development;Value
1997.01.01;1997.01.01;4426764.786
1997.01.01;1998.01.01;5419094.356
1997.01.01;1999.01.01;5508046.334
1997.01.01;2000.01.01;5521286.706
1997.01.01;2001.01.01;5559908.215
1997.01.01;2002.01.01;5586628.593
1997.01.01;2003.01.01;5623446.631
1998.01.01;1998.01.01;4388958.408
1998.01.01;1999.01.01;5373127.739
1998.01.01;2000.01.01;5433289.478
1998.01.01;2001.01.01;5468293.655
1998.01.01;2002.01.01;5544061.437
1998.01.01;2003.01.01;5567951.453
1999.01.01;1999.01.01;5280130.25
1999.01.01;2000.01.01;6519526.44
1999.01.01;2001.01.01;6595648.899
1999.01.01;2002.01.01;6705838.237
1999.01.01;2003.01.01;6818733.062
2000.01.01;2000.01.01;5445384.037
2000.01.01;2001.01.01;6609617.691
2000.01.01;2002.01.01;6781200.542
2000.01.01;2003.01.01;6797627.375
2001.01.01;2001.01.01;5612137.899
2001.01.01;2002.01.01;7450088.269
2001.01.01;2003.01.01;7605951.202
2002.01.01;2002.01.01;6593299.049
2002.01.01;2003.01.01;8185717.079
2003.01.01;2003.01.01;6603090.84
